"State","City"
"Andhra Pradesh","Adoni"
"Andhra Pradesh","Amaravati"
"Andhra Pradesh","Anantapur"
"Andhra Pradesh","Bhimavaram"
"Andhra Pradesh","Chilakaluripet"
"Andhra Pradesh","Chittoor"
"Andhra Pradesh","Dharmavaram"
"Andhra Pradesh","Eluru"
"Andhra Pradesh","Gudivada"
"Andhra Pradesh","Guntakal"
"Andhra Pradesh","Guntur"
"Andhra Pradesh","Hindupur"
"Andhra Pradesh","Kadapa"
"Andhra Pradesh","Kadiri"
"Andhra Pradesh","Kakinada"
"Andhra Pradesh","Kurnool"
"Andhra Pradesh","Machilipatnam"
"Andhra Pradesh","Mangalagiri"
"Andhra Pradesh","Nandyal"
"Andhra Pradesh","Narasaraopet"
"Andhra Pradesh","Nellore"
"Andhra Pradesh","Ongole"
"Andhra Pradesh","Proddatur"
"Andhra Pradesh","Rajahmundry"
"Andhra Pradesh","Srikakulam"
"Andhra Pradesh","Tadepalligudem"
"Andhra Pradesh","Tadipatri"
"Andhra Pradesh","Tenali"
"Andhra Pradesh","Tirupati"
"Andhra Pradesh","Vijayawada"
"Andhra Pradesh","Visakhapatnam"
"Andhra Pradesh","Vizianagaram"
"Arunachal Pradesh","Itanagar"
"Arunachal Pradesh","Tawang"
"Arunachal Pradesh","Ziro"
"Assam","Dhuburi"
"Assam","Dibrugarh"
"Assam","Dispur"
"Assam","Guwahati"
"Assam","Jorhat"
"Assam","Nagaon"
"Assam","Silchar"
"Assam","Tezpur"
"Assam","Tinsukia"
"Bihar","Ara"
"Bihar","Begusarai"
"Bihar","Bettiah"
"Bihar","Bhagalpur"
"Bihar","Bihar Sharif"
"Bihar","Buxar"
"Bihar","Chapra"
"Bihar","Darbhanga"
"Bihar","Dehri"
"Bihar","Gaya"
"Bihar","Hajipur"
"Bihar","Katihar"
"Bihar","Motihari"
"Bihar","Munger"
"Bihar","Muzaffarpur"
"Bihar","Patna"
"Bihar","Purnia"
"Bihar","Saharsa"
"Bihar","Sasaram"
"Bihar","Siwan"
"Chhattisgarh","Ambikapur"
"Chhattisgarh","Bhilai"
"Chhattisgarh","Bilaspur"
"Chhattisgarh","Dhamtari"
"Chhattisgarh","Durg"
"Chhattisgarh","Jagdalpur"
"Chhattisgarh","Raipur"
"Chhattisgarh","Rajnandgaon"
"Goa","Madgaon"
"Goa","Mapusa"
"Goa","Margao"
"Goa","Panaji"
"Goa","Ponda"
"Goa","Vasco da Gama"
"Gujarat","Ahmedabad"
"Gujarat","Amreli"
"Gujarat","Anand"
"Gujarat","Bharuch"
"Gujarat","Bhavnagar"
"Gujarat","Bhuj"
"Gujarat","Botad"
"Gujarat","Dahod"
"Gujarat","Deesa"
"Gujarat","Gandhidham"
"Gujarat","Gandhinagar"
"Gujarat","Godhra"
"Gujarat","Gondal"
"Gujarat","Jamnagar"
"Gujarat","Jetpur"
"Gujarat","Junagadh"
"Gujarat","Kalol"
"Gujarat","Mehsana"
"Gujarat","Morbi"
"Gujarat","Nadiad"
"Gujarat","Navsari"
"Gujarat","Palanpur"
"Gujarat","Patan"
"Gujarat","Porbandar"
"Gujarat","Rajkot"
"Gujarat","Surat"
"Gujarat","Surendranagar"
"Gujarat","Vadodara"
"Gujarat","Valsad"
"Gujarat","Vapi"
"Gujarat","Veraval"
"Haryana","Ambala"
"Haryana","Bahadurgarh"
"Haryana","Bhiwani"
"Haryana","Faridabad"
"Haryana","Gurgaon"
"Haryana","Hansi"
"Haryana","Hisar"
"Haryana","Jind"
"Haryana","Kaithal"
"Haryana","Karnal"
"Haryana","Kurukshetra"
"Haryana","Palwal"
"Haryana","Panchkula"
"Haryana","Panipat"
"Haryana","Rewari"
"Haryana","Rohtak"
"Haryana","Sirsa"
"Haryana","Sonipat"
"Haryana","Yamunanagar"
"Himachal Pradesh","Dharamshala"
"Himachal Pradesh","Shimla"
"Himachal Pradesh","Solan"
"Jharkhand","Adityapur"
"Jharkhand","Bokaro Steel City"
"Jharkhand","Chaibasa"
"Jharkhand","Chakradharpur"
"Jharkhand","Chirkunda"
"Jharkhand","Deoghar"
"Jharkhand","Dhanbad"
"Jharkhand","Giridih"
"Jharkhand","Gumia"
"Jharkhand","Hazaribag"
"Jharkhand","Jamshedpur"
"Jharkhand","Lohardaga"
"Jharkhand","Madhupur"
"Jharkhand","Medininagar"
"Jharkhand","Phusro"
"Jharkhand","Ramgarh"
"Jharkhand","Ranchi"
"Jharkhand","Sahibganj"
"Jharkhand","Saunda"
"Karnataka","Bagalkote"
"Karnataka","Ballari"
"Karnataka","Belgaum"
"Karnataka","Bengaluru"
"Karnataka","Bhadravati"
"Karnataka","Bidar"
"Karnataka","Bijapur"
"Karnataka","Chikmagalur"
"Karnataka","Chitradurga"
"Karnataka","Davanagere"
"Karnataka","Dharwad"
"Karnataka","Gadag-Betageri"
"Karnataka","Gangavati"
"Karnataka","Hassan"
"Karnataka","Hospet"
"Karnataka","Hubli"
"Karnataka","Ilkal"
"Karnataka","Kalaburagi"
"Karnataka","Kolar"
"Karnataka","Mandya"
"Karnataka","Mangaluru"
"Karnataka","Mysuru"
"Karnataka","Raichur"
"Karnataka","Ranebennuru"
"Karnataka","Robertsonpet"
"Karnataka","Shivamogga"
"Karnataka","Tumakuru"
"Karnataka","Udupi"
"Kerala","Alappuzha"
"Kerala","Kochi"
"Kerala","Kollam"
"Kerala","Kozhikode"
"Kerala","Malappuram"
"Kerala","Palakkad"
"Kerala","Thiruvananthapuram"
"Kerala","Thrissur"
"Madhya Pradesh","Bhopal"
"Madhya Pradesh","Burhanpur"
"Madhya Pradesh","Chhindwara"
"Madhya Pradesh","Damoh"
"Madhya Pradesh","Dewas"
"Madhya Pradesh","Gwalior"
"Madhya Pradesh","Indore"
"Madhya Pradesh","Itarsi"
"Madhya Pradesh","Jabalpur"
"Madhya Pradesh","Katni"
"Madhya Pradesh","Khandwa"
"Madhya Pradesh","Khargone"
"Madhya Pradesh","Morena"
"Madhya Pradesh","Murwara"
"Madhya Pradesh","Nagda"
"Madhya Pradesh","Neemuch"
"Madhya Pradesh","Ratlam"
"Madhya Pradesh","Rewa"
"Madhya Pradesh","Sagar"
"Madhya Pradesh","Satna"
"Madhya Pradesh","Sehore"
"Madhya Pradesh","Singrauli"
"Madhya Pradesh","Ujjain"
"Maharashtra","Ahmednagar"
"Maharashtra","Akola"
"Maharashtra","Amravati"
"Maharashtra","Aurangabad"
"Maharashtra","Bhiwandi"
"Maharashtra","Chandrapur"
"Maharashtra","Dhule"
"Maharashtra","Ichalkaranji"
"Maharashtra","Jalgaon"
"Maharashtra","Kolhapur"
"Maharashtra","Latur"
"Maharashtra","Malegaon"
"Maharashtra","Mumbai"
"Maharashtra","Nagpur"
"Maharashtra","Nanded"
"Maharashtra","Nashik"
"Maharashtra","Navi Mumbai"
"Maharashtra","Panvel"
"Maharashtra","Parbhani"
"Maharashtra","Pune"
"Maharashtra","Sangli"
"Maharashtra","Satara"
"Maharashtra","Solapur"
"Maharashtra","Thane"
"Maharashtra","Ulhasnagar"
"Maharashtra","Vasai-Virar"
"Manipur","Imphal"
"Manipur","Kakching"
"Manipur","Lamphelpat"
"Manipur","Moirang"
"Manipur","Porompat"
"Manipur","Thoubal"
"Meghalaya","Shillong"
"Meghalaya","Tura"
"Mizoram","Aizawl"
"Mizoram","Lunglei"
"Nagaland","Dimapur"
"Nagaland","Kohima"
"Nagaland","Mokokchung"
"Nagaland","Tuensang"
"Nagaland","Wokha"
"Nagaland","Zunheboto"
"Odisha","Balasore"
"Odisha","Baripada"
"Odisha","Bhadrak"
"Odisha","Bhubaneswar"
"Odisha","Brahmapur"
"Odisha","Cuttack"
"Odisha","Puri"
"Odisha","Rourkela"
"Odisha","Sambalpur"
"Punjab","Amritsar"
"Punjab","Bathinda"
"Punjab","Hoshiarpur"
"Punjab","Jalandhar"
"Punjab","Ludhiana"
"Punjab","Moga"
"Punjab","Mohali"
"Punjab","Pathankot"
"Punjab","Patiala"
"Punjab","Phagwara"
"Rajasthan","Ajmer"
"Rajasthan","Alwar"
"Rajasthan","Banswara"
"Rajasthan","Baran"
"Rajasthan","Barmer"
"Rajasthan","Beawar"
"Rajasthan","Bharatpur"
"Rajasthan","Bhilwara"
"Rajasthan","Bhiwadi"
"Rajasthan","Bikaner"
"Rajasthan","Chittorgarh"
"Rajasthan","Churu"
"Rajasthan","Dhaulpur"
"Rajasthan","Hanumangarh"
"Rajasthan","Jaipur"
"Rajasthan","Jodhpur"
"Rajasthan","Kishangarh"
"Rajasthan","Kota"
"Rajasthan","Pali"
"Rajasthan","Sikar"
"Rajasthan","Sri Ganganagar"
"Rajasthan","Tonk"
"Rajasthan","Udaipur"
"Sikkim","Gangtok"
"Sikkim","Namchi"
"Tamil Nadu","Ambur"
"Tamil Nadu","Chennai"
"Tamil Nadu","Coimbatore"
"Tamil Nadu","Cuddalore"
"Tamil Nadu","Dindigul"
"Tamil Nadu","Erode"
"Tamil Nadu","Hosur"
"Tamil Nadu","Kanchipuram"
"Tamil Nadu","Karaikkudi"
"Tamil Nadu","Karur"
"Tamil Nadu","Kumbakonam"
"Tamil Nadu","Madurai"
"Tamil Nadu","Nagapattinam"
"Tamil Nadu","Nagercoil"
"Tamil Nadu","Neyveli"
"Tamil Nadu","Pudukkottai"
"Tamil Nadu","Rajapalayam"
"Tamil Nadu","Ranipet"
"Tamil Nadu","Salem"
"Tamil Nadu","Sivakasi"
"Tamil Nadu","Thanjavur"
"Tamil Nadu","Thoothukudi"
"Tamil Nadu","Tiruchirappalli"
"Tamil Nadu","Tirunelveli"
"Tamil Nadu","Tiruppur"
"Tamil Nadu","Tiruvannamalai"
"Tamil Nadu","Udhagamandalam"
"Tamil Nadu","Vaniyambadi"
"Tamil Nadu","Vellore"
"Telangana","Adilabad"
"Telangana","Boduppal"
"Telangana","Gadwal"
"Telangana","Hyderabad"
"Telangana","Karimnagar"
"Telangana","Khammam"
"Telangana","Mahbubnagar"
"Telangana","Miryalaguda"
"Telangana","Nalgonda"
"Telangana","Nizamabad"
"Telangana","Nizampet"
"Telangana","Ramagundam"
"Telangana","Warangal"
"Tripura","Agartala"
"Tripura","Amarpur"
"Tripura","Ambassa"
"Tripura","Belonia"
"Tripura","Bishalgarh"
"Tripura","Dharmanagar"
